CONTRACT,SPY PRICE,EXPIRE_DATE,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,STRIKE,STRIKE_DISTANCE_PCT,STRIKE DISTANCE,PRICEOPEN,PRICECLOSE,ROI %,INFLATION%,y,VIX PRICE
484.0 2022-01-07,476.17,1/7/2022,4.21,0.07839,0.02648,0.08205,-0.0762,0.00521,0.09985,567,0.21,484,0.016,7.83,0.19,0.03,-84.21052632,0.8,0.0,17.27
485.0 2022-01-07,476.17,1/7/2022,4.21,0.05391,0.02001,0.06125,-0.0544,0.00335,0.09928,1215,0.12,485,0.019,8.83,0.12,0.03,-75.0,0.8,0.0,17.27
486.0 2022-01-07,476.17,1/7/2022,4.21,0.03872,0.01507,0.04681,-0.04083,0.00277,0.0998,784,0.09,486,0.021,9.83,0.08,0.02,-75.0,0.8,0.0,17.27
487.0 2022-01-07,476.17,1/7/2022,4.21,0.0265,0.01093,0.03419,-0.02851,0.00193,0.09989,209,0.06,487,0.023,10.83,0.06,0.01,-83.33333333,0.8,0.0,17.27
488.0 2022-01-07,476.17,1/7/2022,4.21,0.02099,0.00873,0.02821,-0.02418,0.00149,0.10443,98,0.05,488,0.025,11.83,0.04,0.01,-75.0,0.8,0.0,17.27
489.0 2022-01-07,476.17,1/7/2022,4.21,0.01217,0.00574,0.01797,-0.01506,0.00079,0.10246,53,0.04,489,0.027,12.83,0.03,0.01,-66.66666667,0.8,0.0,17.27
490.0 2022-01-07,476.17,1/7/2022,4.21,0.01137,0.00514,0.01743,-0.01482,0.00097,0.10902,465,0.02,490,0.029,13.83,0.02,0.02,0.0,0.8,2.0,17.27
491.0 2022-01-07,476.17,1/7/2022,4.21,0.00716,0.00344,0.0115,-0.00961,0.00021,0.1091,99,0.02,491,0.031,14.83,0.01,0.01,0.0,0.8,2.0,17.27
474.0 2022-01-07,475.5,1/7/2022,4.19,0.58315,0.05611,0.21478,-0.28047,0.03498,0.12604,1001,3.42,474,0.003,-1.5,4.26,0.55,-87.08920188,0.8,0.0,17.45
475.0 2022-01-07,475.5,1/7/2022,4.19,0.52728,0.05889,0.21938,-0.28,0.03219,0.12251,4491,2.9,475,0.001,-0.5,3.62,0.39,-89.22651934,0.8,0.0,17.45
476.0 2022-01-07,475.5,1/7/2022,4.19,0.46741,0.06034,0.21971,-0.27305,0.02924,0.12018,4960,2.34,476,0.001,0.5,3.04,0.29,-90.46052632,0.8,0.0,17.45
477.0 2022-01-07,475.5,1/7/2022,4.19,0.40465,0.06043,0.21416,-0.2591,0.02464,0.11608,4688,1.77,477,0.003,1.5,2.46,0.21,-91.46341463,0.8,0.0,17.45
478.0 2022-01-07,475.5,1/7/2022,4.19,0.3416,0.05884,0.20234,-0.23838,0.0216,0.11331,2759,1.42,478,0.005,2.5,1.51,0.15,-90.06622517,0.8,0.0,17.45
479.0 2022-01-07,475.5,1/7/2022,4.19,0.2802,0.05532,0.18638,-0.21076,0.01745,0.11076,2063,1.04,479,0.007,3.5,1.47,0.11,-92.5170068,0.8,0.0,17.45
480.0 2022-01-07,475.5,1/7/2022,4.19,0.22219,0.05019,0.16466,-0.1798,0.01452,0.10748,6715,0.75,480,0.009,4.5,1.14,0.09,-92.10526316,0.8,0.0,17.45
481.0 2022-01-07,475.5,1/7/2022,4.19,0.16998,0.04368,0.14011,-0.1465,0.0108,0.10537,800,0.53,481,0.012,5.5,0.59,0.07,-88.13559322,0.8,0.0,17.45
482.0 2022-01-07,475.5,1/7/2022,4.19,0.12587,0.03638,0.11494,-0.11516,0.00844,0.10352,974,0.33,482,0.014,6.5,0.6,0.06,-90.0,0.8,0.0,17.45
483.0 2022-01-07,475.5,1/7/2022,4.19,0.09074,0.02912,0.09082,-0.08756,0.00623,0.10163,773,0.24,483,0.016,7.5,0.44,0.04,-90.90909091,0.8,0.0,17.45
484.0 2022-01-07,475.5,1/7/2022,4.19,0.06367,0.02244,0.07016,-0.06484,0.0038,0.10099,639,0.15,484,0.018,8.5,0.19,0.03,-84.21052632,0.8,0.0,17.45
485.0 2022-01-07,475.5,1/7/2022,4.19,0.04598,0.01713,0.05393,-0.04887,0.00328,0.10209,1406,0.11,485,0.02,9.5,0.12,0.03,-75.0,0.8,0.0,17.45
486.0 2022-01-07,475.5,1/7/2022,4.19,0.03015,0.01235,0.03834,-0.03294,0.00143,0.10138,800,0.06,486,0.022,10.5,0.08,0.02,-75.0,0.8,0.0,17.45
487.0 2022-01-07,475.5,1/7/2022,4.19,0.02197,0.00912,0.02888,-0.02404,0.001,0.1026,293,0.05,487,0.024,11.5,0.06,0.01,-83.33333333,0.8,0.0,17.45
488.0 2022-01-07,475.5,1/7/2022,4.19,0.01714,0.00716,0.02375,-0.02052,0.00147,0.10618,168,0.03,488,0.026,12.5,0.04,0.01,-75.0,0.8,0.0,17.45
489.0 2022-01-07,475.5,1/7/2022,4.19,0.01237,0.00528,0.01777,-0.01463,0.00117,0.10742,135,0.03,489,0.028,13.5,0.03,0.01,-66.66666667,0.8,0.0,17.45
490.0 2022-01-07,475.5,1/7/2022,4.19,0.01136,0.0048,0.01662,-0.01507,0.00037,0.11433,490,0.02,490,0.03,14.5,0.02,0.02,0.0,0.8,2.0,17.45
491.0 2022-01-07,475.5,1/7/2022,4.19,0.00713,0.00321,0.01144,-0.00944,0.00082,0.11387,121,0.01,491,0.033,15.5,0.01,0.01,0.0,0.8,2.0,17.45
474.0 2022-01-07,475.36,1/7/2022,4.17,0.57563,0.05732,0.21603,-0.27866,0.03447,0.12479,1886,3.41,474,0.003,-1.36,4.26,0.55,-87.08920188,0.8,0.0,17.42
475.0 2022-01-07,475.36,1/7/2022,4.17,0.51795,0.05975,0.21924,-0.27712,0.03187,0.12169,6248,2.76,475,0.001,-0.36,3.62,0.39,-89.22651934,0.8,0.0,17.42
476.0 2022-01-07,475.36,1/7/2022,4.17,0.45633,0.06129,0.21863,-0.26845,0.02821,0.11809,6326,2.24,476,0.001,0.64,3.04,0.29,-90.46052632,0.8,0.0,17.42
477.0 2022-01-07,475.36,1/7/2022,4.17,0.39367,0.06101,0.21159,-0.25323,0.02415,0.11495,5222,1.76,477,0.003,1.64,2.46,0.21,-91.46341463,0.8,0.0,17.42
478.0 2022-01-07,475.36,1/7/2022,4.17,0.32933,0.05903,0.1994,-0.23098,0.02088,0.11187,3278,1.34,478,0.006,2.64,1.51,0.15,-90.06622517,0.8,0.0,17.42
479.0 2022-01-07,475.36,1/7/2022,4.17,0.26775,0.05516,0.18117,-0.20283,0.01715,0.10909,2396,0.97,479,0.008,3.64,1.47,0.11,-92.5170068,0.8,0.0,17.42
480.0 2022-01-07,475.36,1/7/2022,4.17,0.211,0.04945,0.15951,-0.1721,0.01323,0.10609,7487,0.69,480,0.01,4.64,1.14,0.09,-92.10526316,0.8,0.0,17.42
481.0 2022-01-07,475.36,1/7/2022,4.17,0.1597,0.04252,0.13404,-0.13766,0.00988,0.10394,882,0.49,481,0.012,5.64,0.59,0.07,-88.13559322,0.8,0.0,17.42
482.0 2022-01-07,475.36,1/7/2022,4.17,0.11592,0.03495,0.1087,-0.10655,0.00784,0.10117,1016,0.33,482,0.014,6.64,0.6,0.06,-90.0,0.8,0.0,17.42
483.0 2022-01-07,475.36,1/7/2022,4.17,0.08491,0.02777,0.08583,-0.08222,0.00585,0.10172,1038,0.2,483,0.016,7.64,0.44,0.04,-90.90909091,0.8,0.0,17.42
484.0 2022-01-07,475.36,1/7/2022,4.17,0.05798,0.02103,0.06478,-0.05839,0.004,0.10019,755,0.13,484,0.018,8.64,0.19,0.03,-84.21052632,0.8,0.0,17.42
485.0 2022-01-07,475.36,1/7/2022,4.17,0.03852,0.01544,0.04675,-0.04121,0.00231,0.09896,1503,0.08,485,0.02,9.64,0.12,0.03,-75.0,0.8,0.0,17.42
486.0 2022-01-07,475.36,1/7/2022,4.17,0.02944,0.01209,0.03794,-0.03327,0.00143,0.10283,910,0.07,486,0.022,10.64,0.08,0.02,-75.0,0.8,0.0,17.42
487.0 2022-01-07,475.36,1/7/2022,4.17,0.02116,0.00895,0.02881,-0.02429,0.00129,0.10351,301,0.04,487,0.024,11.64,0.06,0.01,-83.33333333,0.8,0.0,17.42
488.0 2022-01-07,475.36,1/7/2022,4.17,0.01656,0.0071,0.02314,-0.01979,0.00081,0.10703,186,0.03,488,0.027,12.64,0.04,0.01,-75.0,0.8,0.0,17.42
489.0 2022-01-07,475.36,1/7/2022,4.17,0.01158,0.00517,0.01789,-0.01492,0.00084,0.10866,208,0.02,489,0.029,13.64,0.03,0.01,-66.66666667,0.8,0.0,17.42
490.0 2022-01-07,475.36,1/7/2022,4.17,0.0111,0.00465,0.01638,-0.01531,0.00079,0.11553,524,0.02,490,0.031,14.64,0.02,0.02,0.0,0.8,2.0,17.42
491.0 2022-01-07,475.36,1/7/2022,4.17,0.00772,0.00314,0.01164,-0.00925,0.00015,0.11491,122,0.02,491,0.033,15.64,0.01,0.01,0.0,0.8,2.0,17.42
474.0 2022-01-07,475.93,1/7/2022,4.15,0.61084,0.05705,0.21104,-0.26851,0.03651,0.12286,1946,3.69,474,0.004,-1.93,4.26,0.55,-87.08920188,0.8,0.0,17.22
475.0 2022-01-07,475.93,1/7/2022,4.15,0.5536,0.06028,0.2169,-0.27141,0.03343,0.12024,6799,3.07,475,0.002,-0.93,3.62,0.39,-89.22651934,0.8,0.0,17.22
476.0 2022-01-07,475.93,1/7/2022,4.15,0.49308,0.06257,0.21889,-0.26709,0.02988,0.11649,7451,2.46,476,0.0,0.07,3.04,0.29,-90.46052632,0.8,0.0,17.22
477.0 2022-01-07,475.93,1/7/2022,4.15,0.42847,0.06327,0.21584,-0.2562,0.02646,0.11277,5923,1.94,477,0.002,1.07,2.46,0.21,-91.46341463,0.8,0.0,17.22
478.0 2022-01-07,475.93,1/7/2022,4.15,0.36305,0.0622,0.2063,-0.23724,0.02295,0.10998,3742,1.47,478,0.004,2.07,1.51,0.15,-90.06622517,0.8,0.0,17.22
479.0 2022-01-07,475.93,1/7/2022,4.15,0.29822,0.05907,0.19065,-0.21178,0.01885,0.10691,2551,1.09,479,0.006,3.07,1.47,0.11,-92.5170068,0.8,0.0,17.22
480.0 2022-01-07,475.93,1/7/2022,4.15,0.23575,0.05391,0.16981,-0.18106,0.01454,0.10371,8576,0.78,480,0.009,4.07,1.14,0.09,-92.10526316,0.8,0.0,17.22
481.0 2022-01-07,475.93,1/7/2022,4.15,0.18061,0.04698,0.14498,-0.14899,0.01087,0.10166,1016,0.53,481,0.011,5.07,0.59,0.07,-88.13559322,0.8,0.0,17.22
482.0 2022-01-07,475.93,1/7/2022,4.15,0.13259,0.03925,0.11885,-0.11636,0.00844,0.09969,1099,0.37,482,0.013,6.07,0.6,0.06,-90.0,0.8,0.0,17.22
483.0 2022-01-07,475.93,1/7/2022,4.15,0.09614,0.03142,0.09475,-0.08998,0.00587,0.09908,1205,0.25,483,0.015,7.07,0.44,0.04,-90.90909091,0.8,0.0,17.22
484.0 2022-01-07,475.93,1/7/2022,4.15,0.06647,0.02399,0.07205,-0.06485,0.00443,0.0973,1643,0.16,484,0.017,8.07,0.19,0.03,-84.21052632,0.8,0.0,17.22
485.0 2022-01-07,475.93,1/7/2022,4.15,0.04756,0.01823,0.05472,-0.04871,0.00295,0.09801,1834,0.1,485,0.019,9.07,0.12,0.03,-75.0,0.8,0.0,17.22
486.0 2022-01-07,475.93,1/7/2022,4.15,0.03102,0.01301,0.03899,-0.03338,0.00234,0.09837,948,0.07,486,0.021,10.07,0.08,0.02,-75.0,0.8,0.0,17.22
487.0 2022-01-07,475.93,1/7/2022,4.15,0.02254,0.00965,0.02959,-0.02477,0.00168,0.09948,410,0.05,487,0.023,11.07,0.06,0.01,-83.33333333,0.8,0.0,17.22
488.0 2022-01-07,475.93,1/7/2022,4.15,0.01748,0.00753,0.02427,-0.02005,0.00125,0.10369,286,0.03,488,0.025,12.07,0.04,0.01,-75.0,0.8,0.0,17.22
489.0 2022-01-07,475.93,1/7/2022,4.15,0.01219,0.00562,0.01836,-0.01471,0.00112,0.10549,466,0.03,489,0.027,13.07,0.03,0.01,-66.66666667,0.8,0.0,17.22
490.0 2022-01-07,475.93,1/7/2022,4.15,0.01159,0.005,0.01756,-0.01458,0.00056,0.11133,524,0.02,490,0.03,14.07,0.02,0.02,0.0,0.8,2.0,17.22
491.0 2022-01-07,475.93,1/7/2022,4.15,0.00713,0.00333,0.01148,-0.00949,2e-05,0.11173,124,0.02,491,0.032,15.07,0.01,0.01,0.0,0.8,2.0,17.22
474.0 2022-01-07,475.61,1/7/2022,4.12,0.59421,0.05877,0.21225,-0.26826,0.03538,0.12132,2066,3.61,474,0.003,-1.61,4.26,0.55,-87.08920188,0.8,0.0,17.22
475.0 2022-01-07,475.61,1/7/2022,4.12,0.5347,0.06178,0.21817,-0.26877,0.03228,0.11767,7325,2.87,475,0.001,-0.61,3.62,0.39,-89.22651934,0.8,0.0,17.22
476.0 2022-01-07,475.61,1/7/2022,4.12,0.47185,0.06358,0.21862,-0.26247,0.02909,0.11435,8090,2.26,476,0.001,0.39,3.04,0.29,-90.46052632,0.8,0.0,17.22
477.0 2022-01-07,475.61,1/7/2022,4.12,0.40692,0.06362,0.21324,-0.24973,0.0251,0.1115,6660,1.79,477,0.003,1.39,2.46,0.21,-91.46341463,0.8,0.0,17.22
478.0 2022-01-07,475.61,1/7/2022,4.12,0.3405,0.06176,0.20088,-0.22904,0.02147,0.1088,4019,1.35,478,0.005,2.39,1.51,0.15,-90.06622517,0.8,0.0,17.22
479.0 2022-01-07,475.61,1/7/2022,4.12,0.27541,0.0579,0.18303,-0.20033,0.01725,0.10522,2810,0.96,479,0.007,3.39,1.47,0.11,-92.5170068,0.8,0.0,17.22
480.0 2022-01-07,475.61,1/7/2022,4.12,0.21678,0.05194,0.1612,-0.17074,0.01316,0.10336,9537,0.69,480,0.009,4.39,1.14,0.09,-92.10526316,0.8,0.0,17.22
481.0 2022-01-07,475.61,1/7/2022,4.12,0.16295,0.04459,0.1362,-0.13763,0.01023,0.10086,1473,0.48,481,0.011,5.39,0.59,0.07,-88.13559322,0.8,0.0,17.22
482.0 2022-01-07,475.61,1/7/2022,4.12,0.11835,0.03658,0.1092,-0.10598,0.00731,0.09883,1136,0.31,482,0.013,6.39,0.6,0.06,-90.0,0.8,0.0,17.22
483.0 2022-01-07,475.61,1/7/2022,4.12,0.08388,0.02874,0.08513,-0.07876,0.00508,0.09815,1262,0.21,483,0.016,7.39,0.44,0.04,-90.90909091,0.8,0.0,17.22
484.0 2022-01-07,475.61,1/7/2022,4.12,0.05932,0.02197,0.06499,-0.05828,0.0036,0.0979,1944,0.13,484,0.018,8.39,0.19,0.03,-84.21052632,0.8,0.0,17.22
