Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,24.830000,28.370001,24.760000,28.110001,28.110001,0
2022-02-18,26.660000,29.709999,26.379999,27.750000,27.750000,0
2022-02-22,31.799999,32.040001,28.400000,28.809999,28.809999,0
2022-02-23,28.040001,31.070000,27.200001,31.020000,31.020000,0
2022-02-24,37.500000,37.790001,29.450001,30.320000,30.320000,0
2022-02-25,31.680000,32.000000,26.930000,27.590000,27.590000,0
2022-02-28,32.439999,33.509998,28.430000,30.150000,30.150000,0
2022-03-01,29.450001,35.189999,29.440001,33.320000,33.320000,0
2022-03-02,34.200001,34.410000,30.120001,30.740000,30.740000,0
2022-03-03,30.520000,32.009998,29.309999,30.480000,30.480000,0
2022-03-04,31.900000,34.650002,31.469999,31.980000,31.980000,0
2022-03-07,35.880001,36.549999,32.590000,36.450001,36.450001,0
2022-03-08,36.189999,37.520000,32.779999,35.130001,35.130001,0
2022-03-09,33.740002,34.119999,31.389999,32.450001,32.450001,0
2022-03-10,33.029999,34.029999,30.230000,30.230000,30.230000,0
2022-03-11,30.430000,31.040001,28.840000,30.750000,30.750000,0
2022-03-14,31.030001,33.180000,30.059999,31.770000,31.770000,0
2022-03-15,33.130001,33.830002,29.570000,29.830000,29.830000,0
2022-03-16,29.020000,29.799999,26.290001,26.670000,26.670000,0
2022-03-17,26.510000,27.469999,25.250000,25.670000,25.670000,0
2022-03-18,26.360001,26.820000,23.850000,23.870001,23.870001,0
2022-03-21,25.139999,25.360001,22.990000,23.530001,23.530001,0
2022-03-22,24.020000,24.020000,22.700001,22.940001,22.940001,0
2022-03-23,23.040001,24.030001,22.639999,23.570000,23.570000,0
2022-03-24,23.610001,23.790001,21.490000,21.670000,21.670000,0
2022-03-25,21.870001,22.860001,20.799999,20.809999,20.809999,0
2022-03-28,22.139999,23.330000,19.540001,19.629999,19.629999,0
2022-03-29,19.700001,19.730000,18.670000,18.900000,18.900000,0
2022-03-30,19.379999,20.510000,18.719999,19.330000,19.330000,0
2022-03-31,19.680000,21.480000,19.540001,20.559999,20.559999,0
2022-04-01,20.620001,20.860001,19.410000,19.629999,19.629999,0
2022-04-04,20.750000,20.780001,18.450001,18.570000,18.570000,0
2022-04-05,18.790001,21.570000,18.549999,21.030001,21.030001,0
2022-04-06,21.270000,24.780001,21.240000,22.100000,22.100000,0
2022-04-07,21.969999,23.820000,21.120001,21.549999,21.549999,0
2022-04-08,21.250000,22.340000,20.280001,21.160000,21.160000,0
2022-04-11,23.090000,24.420000,22.090000,24.370001,24.370001,0
2022-04-12,24.940001,25.379999,22.270000,24.260000,24.260000,0
2022-04-13,23.520000,24.450001,21.370001,21.820000,21.820000,0
2022-04-14,21.719999,22.700001,20.850000,22.700001,22.700001,0
2022-04-18,24.520000,24.600000,21.980000,22.170000,22.170000,0
2022-04-19,22.549999,22.920000,20.360001,21.370001,21.370001,0
2022-04-20,21.129999,21.320000,19.750000,20.320000,20.320000,0
2022-04-21,20.240000,23.280001,19.809999,22.680000,22.680000,0
2022-04-22,22.709999,28.270000,22.620001,28.209999,28.209999,0
2022-04-25,30.040001,31.600000,26.799999,27.020000,27.020000,0
2022-04-26,27.379999,33.810001,27.059999,33.520000,33.520000,0
2022-04-27,31.110001,32.770000,29.820000,31.600000,31.600000,0
2022-04-28,29.910000,32.000000,28.000000,29.990000,29.990000,0
2022-04-29,28.969999,34.340000,28.540001,33.400002,33.400002,0
2022-05-02,33.349998,36.639999,31.740000,32.340000,32.340000,0
2022-05-03,31.760000,32.820000,29.059999,29.250000,29.250000,0
2022-05-04,29.120001,29.420000,24.940001,25.420000,25.420000,0
2022-05-05,25.969999,33.200001,25.780001,31.200001,31.200001,0
2022-05-06,32.230000,35.340000,29.830000,30.190001,30.190001,0
2022-05-09,31.900000,35.480000,31.900000,34.750000,34.750000,0
2022-05-10,33.660000,34.840000,32.240002,32.990002,32.990002,0
2022-05-11,32.869999,34.389999,30.690001,32.560001,32.560001,0
2022-05-12,33.740002,34.759998,31.700001,31.770000,31.770000,0
2022-05-13,31.090000,31.200001,28.780001,28.870001,28.870001,0
2022-05-16,30.010000,30.230000,27.360001,27.469999,27.469999,0
2022-05-17,27.070000,27.170000,25.510000,26.100000,26.100000,0
2022-05-18,26.740000,31.490000,26.209999,30.959999,30.959999,0
2022-05-19,31.240000,33.110001,29.059999,29.350000,29.350000,0
2022-05-20,28.780001,32.910000,28.059999,29.430000,29.430000,0
2022-05-23,28.980000,30.389999,28.290001,28.480000,28.480000,0
2022-05-24,29.430000,31.070000,29.040001,29.450001,29.450001,0
2022-05-25,29.330000,30.230000,28.160000,28.370001,28.370001,0
2022-05-26,28.420000,28.459999,27.110001,27.500000,27.500000,0
2022-05-27,27.500000,27.540001,25.570000,25.719999,25.719999,0
2022-05-31,27.469999,28.350000,25.940001,26.190001,26.190001,0
2022-06-01,26.049999,27.730000,25.379999,25.690001,25.690001,0
2022-06-02,25.730000,26.500000,24.330000,24.719999,24.719999,0
2022-06-03,24.910000,25.959999,24.760000,24.790001,24.790001,0
2022-06-06,25.370001,25.809999,24.820000,25.070000,25.070000,0
2022-06-07,25.540001,26.240000,23.879999,24.020000,24.020000,0
2022-06-08,24.370001,24.780001,23.740000,23.959999,23.959999,0
2022-06-09,24.290001,26.240000,23.820000,26.090000,26.090000,0
2022-06-10,26.260000,29.629999,26.049999,27.750000,27.750000,0
2022-06-13,31.370001,35.049999,31.290001,34.020000,34.020000,0
2022-06-14,33.009998,34.000000,32.060001,32.689999,32.689999,0
2022-06-15,32.389999,32.770000,27.760000,29.620001,29.620001,0
2022-06-16,30.350000,34.820000,30.350000,32.950001,32.950001,0
2022-06-17,32.840000,33.310001,30.469999,31.129999,31.129999,0
2022-06-21,30.629999,30.650000,29.330000,30.190001,30.190001,0
2022-06-22,31.450001,31.570000,28.780001,28.950001,28.950001,0
2022-06-23,29.290001,29.770000,28.740000,29.049999,29.049999,0
2022-06-24,29.070000,29.719999,26.830000,27.230000,27.230000,0
2022-06-27,28.299999,28.660000,26.930000,26.950001,26.950001,0
